"month","date","money","diff","assets","debt","assets_money_over_debt","debt_over_incomes"
248,"8/2036",-77508,-312,0,33718.24307323871,-229.86962823551173,null
249,"9/2036",-77821,-313,0,33428.186596419786,-232.80054326469136,null
250,"10/2036",-78133,-312,0,33137.936748616274,-235.78112479577524,null
251,"11/2036",-78446,-313,0,32847.493400914376,-238.81883175236834,null
252,"12/2036",-78758,-312,0,32556.856424313948,-241.90910502397998,null
253,"1/2037",-79071,-313,0,32266.02568972912,-245.0596201724645,null
254,"2/2037",-79383,-312,0,31975.00106798782,-248.26582438952693,null
255,"3/2037",-79696,-313,0,31683.78242983208,-251.5356244996863,null
256,"4/2037",-80009,-313,0,31392.369645917617,-254.86766657771142,null
257,"5/2037",-80321,-312,0,31100.76258681389,-258.2605483572757,null
258,"6/2037",-80634,-313,0,30808.961123004035,-261.72255428565313,null
259,"7/2037",-80946,-312,0,30516.965124884984,-265.2491808040007,null
260,"8/2037",-81259,-313,0,30224.774462767175,-268.84898711188094,null
261,"9/2037",-81571,-312,0,29932.389006874637,-272.5175059740985,null
262,"10/2037",-81884,-313,0,29639.8086273448,-276.2635920815503,null
263,"11/2037",-82196,-312,0,29347.033194228792,-280.08282628093446,null
264,"12/2037",-82509,-313,0,29054.062577490466,-283.9843818052611,null
265,"1/2038",-82821,-312,0,28760.89664700784,-287.963901183228,null
266,"2/2038",-83134,-313,0,28467.535272571447,-292.0309018817651,null
267,"3/2038",-83446,-312,0,28173.978323885418,-296.18110385658923,null
268,"4/2038",-83759,-313,0,27880.225670566957,-300.42439752711203,null
269,"5/2038",-84071,-312,0,27586.277182146365,-304.7565985250454,null
270,"6/2038",-84384,-313,0,27292.1327280667,-309.18800242100957,null
271,"7/2038",-84697,-313,0,26997.79217768441,-313.7182457090253,null
272,"8/2038",-85009,-312,0,26703.255400268405,-318.3469533049725,null
273,"9/2038",-85322,-313,0,26408.52226500094,-323.08509784766244,null
274,"10/2038",-85634,-312,0,26113.592640976505,-327.9288345243857,null
275,"11/2038",-85947,-313,0,25818.46639720284,-332.88964060743535,null
276,"12/2038",-86259,-312,0,25523.143402599868,-337.96385750515896,null
277,"1/2039",-86572,-313,0,25227.623526000552,-343.16351641594616,null
278,"2/2039",-86884,-312,0,24931.906636150154,-348.48518112939695,null
279,"3/2039",-87197,-313,0,24635.99260170664,-353.94149287883573,null
280,"4/2039",-87509,-312,0,24339.88129124003,-359.5292801674208,null
281,"5/2039",-87822,-313,0,24043.572573233207,-365.26185837194964,null
282,"6/2039",-88134,-312,0,23747.06631608084,-371.1363703916477,null
283,"7/2039",-88447,-313,0,23450.362388090616,-377.16687928421203,null
284,"8/2039",-88760,-313,0,23153.460657481595,-383.35521982248,null
285,"9/2039",-89072,-312,0,22856.360992385555,-389.7033304193688,null
286,"10/2039",-89385,-313,0,22559.063260846095,-396.22655855191545,null
287,"11/2039",-89697,-312,0,22261.56733081897,-402.9231125870606,null
288,"12/2039",-90010,-313,0,21963.873070171856,-409.80932512416723,null
289,"1/2040",-90322,-312,0,21665.980346684217,-416.88397457548217,null
290,"2/2040",-90635,-313,0,21367.889028047557,-424.16450160814776,null
291,"3/2040",-90947,-312,0,21069.598981865318,-431.6503606845029,null
292,"4/2040",-91260,-313,0,20771.11007565214,-439.3602444338053,null
293,"5/2040",-91572,-312,0,20472.422176834916,-447.2944100557682,null
294,"6/2040",-91885,-313,0,20173.535152751752,-455.4729714165467,null
295,"7/2040",-92197,-312,0,19874.44887065252,-463.89714049450765,null
296,"8/2040",-92510,-313,0,19575.163197698566,-472.58865259869873,null
297,"9/2040",-92822,-312,0,19275.678000962707,-481.54985778121056,null
298,"10/2040",-93135,-313,0,18975.993147428857,-490.8043509312675,null
299,"11/2040",-93448,-313,0,18676.108503992815,-500.36119665947274,null
300,"12/2040",-93760,-312,0,18376.023937461065,-510.23007109205156,null
301,"1/2041",-94073,-313,0,18075.73931455172,-520.4379105216866,null
302,"2/2041",-94385,-312,0,17775.254501893673,-530.9909908178516,null
303,"3/2041",-94698,-313,0,17474.5693660273,-541.9189338313796,null
304,"4/2041",-95010,-312,0,17173.683773403485,-553.2301703792866,null
305,"5/2041",-95323,-313,0,16872.59759038481,-564.9574672148984,null
306,"6/2041",-95635,-312,0,16571.31068324395,-577.11186416112,null
307,"7/2041",-95948,-313,0,16269.822918165124,-589.7298359214153,null
308,"8/2041",-96260,-312,0,15968.134161242846,-602.8255964534544,null
309,"9/2041",-96573,-313,0,15666.244278482649,-616.4400240627012,null
310,"10/2041",-96885,-312,0,15364.153135800585,-630.5912154327898,null
311,"11/2041",-97198,-313,0,15061.860599023394,-645.3253192789628,null
312,"12/2041",-97511,-313,0,14759.366533888406,-660.6719859968841,null
313,"1/2042",-97823,-312,0,14456.670806043312,-676.6633985959418,null
314,"2/2042",-98136,-313,0,14153.77328104624,-693.3557437394944,null
315,"3/2042",-98448,-312,0,13850.673824365898,-710.7813038439455,null
316,"4/2042",-98761,-313,0,13547.372301381158,-729.0048416985727,null
317,"5/2042",-99073,-312,0,13243.868577381001,-748.0669218449151,null
318,"6/2042",-99386,-313,0,12940.162517564795,-768.0429041373695,null
319,"7/2042",-99698,-312,0,12636.253987042217,-788.9838246543225,null
320,"8/2042",-100011,-313,0,12332.142850832543,-810.9782801717081,null
321,"9/2042",-100323,-312,0,12027.828973865322,-834.0906760312848,null
322,"10/2042",-100636,-313,0,11723.31222098021,-858.4263397839081,null
323,"11/2042",-100948,-312,0,11418.59245692651,-884.0669318989926,null
324,"12/2042",-101261,-313,0,11113.669546363439,-911.1392018411609,null
325,"1/2043",-101573,-312,0,10808.54335385995,-939.7473523916267,null
326,"2/2043",-101886,-313,0,10503.213743894757,-970.0459543558625,null
