"month","date","money","diff","assets","debt","assets_money_over_debt","debt_over_incomes"
47,"11/2019",-12188.876915842444,-312.53530553442215,0,90288.65929273359,-13.499898006374986,null
48,"12/2019",-12501.412221376866,-312.53530553442215,0,90036.31642672766,-13.884855264542754,null
49,"1/2020",-12813.947526911288,-312.53530553442215,0,89783.8053321445,-14.272003151913214,null
50,"2/2020",-13126.48283244571,-312.53530553442215,0,89531.12589683151,-14.661362404368305,null
51,"3/2020",-13439.018137980132,-312.53530553442215,0,89278.27800856165,-15.052954019443957,null
52,"4/2020",-13751.553443514555,-312.53530553442215,0,89025.26155503301,-15.446799260470263,null
53,"5/2020",-14064.088749048977,-312.53530553442215,0,88772.07642386864,-15.842919660790415,null
54,"6/2020",-14376.624054583399,-312.53530553442215,0,88518.72250261677,-16.24133702806025,null
55,"7/2020",-14689.159360117821,-312.53530553442215,0,88265.1996787509,-16.64207344863019,null
56,"8/2020",-15001.694665652243,-312.53530553442215,0,88011.5078396689,-17.04515129201163,null
57,"9/2020",-15314.229971186665,-312.53530553442215,0,87757.64687269439,-17.450593215429137,null
58,"10/2020",-15626.765276721088,-312.53530553442215,0,87503.61666507505,-17.858422168461217,null
59,"11/2020",-15939.30058225551,-312.53530553442215,0,87249.41710398413,-18.268661397770718,null
60,"12/2020",-16251.835887789932,-312.53530553442215,0,86995.04807651909,-18.68133445192782,null
61,"1/2021",-16564.371193324354,-312.53530553442215,0,86740.50946970233,-19.09646518632697,null
62,"2/2021",-16876.906498858774,-312.53530553442033,0,86485.80117048108,-19.514077768200313,null
63,"3/2021",-17189.441804393195,-312.53530553442033,0,86230.92306572702,-19.934196681729873,null
64,"4/2021",-17501.977109927615,-312.53530553442033,0,85975.8750422365,-20.356846733260458,null
65,"5/2021",-17814.512415462035,-312.53530553442033,0,85720.65698673028,-20.78205305661593,null
66,"6/2021",-18127.047720996456,-312.53530553442033,0,85465.26878585368,-21.209841118520963,null
67,"7/2021",-18439.583026530876,-312.53530553442033,0,85209.71032617649,-21.640236724130986,null
68,"8/2021",-18752.118332065296,-312.53530553442033,0,84953.98149419294,-22.073266022672644,null
69,"9/2021",-19064.653637599717,-312.53530553442033,0,84698.08217632142,-22.508955513197577,null
70,"10/2021",-19377.188943134137,-312.53530553442033,0,84442.01225890442,-22.947332050451948,null
