"month","date","money","diff","assets","debt","assets_money_over_debt","debt_over_incomes"
44,"8/2019",66606,1614,152139.80522609208,96655.86480564179,226.314053126473,20.86635072211582
45,"9/2019",68220,1614,151989.97571696632,96165.40643061665,228.99084389129874,20.86635072211582
46,"10/2019",69834,1614,151841.45595911884,95672.71492104177,231.7018557924969,20.86635072211582
47,"11/2019",71448,1614,151694.23450321358,95177.77321247818,234.44784109947926,20.86635072211582
48,"12/2019",69512,-1936,151548.3,94680.56409957042,233.48012562274434,20.86635072211582
49,"1/2020",71126,1614,151403.6411994384,94181.07023487413,236.27852247217115,20.86635072211582
50,"2/2020",72740,1614,151260.24694983248,93679.27412767206,239.11398656286633,20.86635072211582
51,"3/2020",74354,1614,151118.10619696975,93175.15814278224,241.9873608923258,20.86635072211582
52,"4/2020",75968,1614,150977.20798326936,92668.70449935406,244.89951511607813,20.86635072211582
53,"5/2020",77582,1614,150837.54144693734,92159.89526965654,247.85134659559884,20.86635072211582
54,"6/2020",79196,1614,150699.0958211293,91648.71237785474,250.84378149613732,20.86635072211582
55,"7/2020",80810,1614,150561.86043312048,91135.13759877684,253.8777759372427,20.86635072211582
56,"8/2020",82424,1614,150425.82470348288,90619.15255667058,256.95431719896675,20.86635072211582
57,"9/2020",84038,1614,150290.97814526968,90100.73872394976,260.0744249869091,20.86635072211582
58,"10/2020",85652,1614,150157.31036320695,89579.87741992986,263.2391527594832,20.86635072211582
59,"11/2020",87266,1614,150024.8110528922,89056.54980955335,266.4495891209984,20.86635072211582
60,"12/2020",85330,-1936,149893.47,88530.73690210444,265.69695252859526,20.86635072211582
61,"1/2021",86944,1614,149763.27707949455,88002.41954991272,268.9781466124806,20.86635072211582
62,"2/2021",88558,1614,149634.22225484924,87471.57844704654,272.30813309153416,20.86635072211582
63,"3/2021",90172,1614,149506.29557727274,86938.19412799542,275.68814602291434,20.86635072211582
64,"4/2021",91786,1614,149379.4871849424,86402.2469663406,279.1194623432564,20.86635072211582
65,"5/2021",93400,1614,149253.78730224358,85863.7171734162,282.60340373124484,20.86635072211582
66,"6/2021",95014,1614,149129.1862390164,85322.58479695741,286.1413385682175,20.86635072211582
67,"7/2021",96628,1614,149005.67438980847,84778.82971973885,289.73468400286043,20.86635072211582
68,"8/2021",98242,1614,148883.2422331346,84232.43165820048,293.38490812650736,20.86635072211582
69,"9/2021",99856,1614,148761.88033074272,83683.37016106307,297.09353226601024,20.86635072211582
70,"10/2021",101470,1614,148641.57932688628,83131.62460793115,300.8621334016663,20.86635072211582
71,"11/2021",103084,1614,148522.329947603,82879.00991157157,303.5826926697802,20.86635072211582
72,"12/2021",101453,-1631,148404.12300000002,82626.18470296497,302.3946027499853,10.721317348216903
73,"1/2022",103371,1918,148286.94937154508,82373.14880668459,305.5096873401579,10.721317348216903
74,"2/2022",105289,1918,148170.8000293643,82119.9020471572,308.6460087151778,10.721317348216903
75,"3/2022",107208,1919,148055.6660195455,81866.44424866365,311.8049994258939,10.721317348216903
76,"4/2022",109126,1918,147941.53846644817,81612.775235338,314.98443439176043,10.721317348216903
77,"5/2022",111044,1918,147828.40857201922,81358.89483116787,318.18574860096,10.721317348216903
78,"6/2022",112963,1919,147716.26761511475,81104.80285999434,321.41039546709396,10.721317348216903
79,"7/2022",114881,1918,147605.10695082758,80850.49914551147,324.6561366039506,10.721317348216903
80,"8/2022",116799,1918,147494.91800982115,80595.98351126652,327.9244281110801,10.721317348216903
81,"9/2022",118718,1919,147385.69229766846,80341.25578065972,331.21674501100676,10.721317348216903
82,"10/2022",120636,1918,147277.42139419765,80086.31577694401,334.53083563038246,10.721317348216903
83,"11/2022",122555,1919,147170.09695284266,79831.16332322534,337.8694305891085,10.721317348216903
84,"12/2022",120923,-1632,147063.7107,79575.79824246174,336.76911400054547,10.721317348216903
85,"1/2023",122841,1918,146958.25443439058,79320.22035746422,340.13931532024776,10.721317348216903
86,"2/2023",124760,1919,146853.72002642785,79064.42949089591,343.5346612571252,10.721317348216903
87,"3/2023",126678,1918,146750.09941759094,78808.42546527216,346.9528769332921,10.721317348216903
88,"4/2023",128596,1918,146647.38461980337,78552.20810296031,350.39547743716525,10.721317348216903
89,"5/2023",130515,1919,146545.56771481733,78295.77722617991,353.8639982006285,10.721317348216903
90,"6/2023",132433,1918,146444.64085360328,78039.13265700215,357.3561511496126,10.721317348216903
91,"7/2023",134351,1918,146344.59625574487,77782.27421735012,360.87347545455657,10.721317348216903
92,"8/2023",136270,1919,146245.42620883902,77525.20172899838,364.41753121316145,10.721317348216903
93,"9/2023",138188,1918,146147.1230679016,77267.91501357296,367.98601724655697,10.721317348216903
94,"10/2023",140107,1919,146049.67925477788,77010.41389255141,371.58179626723893,10.721317348216903
95,"11/2023",142025,1918,145953.08725755842,76752.69818726243,375.2025584233469,10.721317348216903
96,"12/2023",140393,-1632,145857.33963,76494.76771888552,374.20904483553153,10.721317348216903
97,"1/2024",142312,1919,145762.42899095154,76236.62230845174,377.86882507124795,10.721317348216903
98,"2/2024",144230,1918,145668.3480237851,75978.26177684256,381.5543304679067,10.721317348216903
99,"3/2024",146148,1918,145575.08947583183,75719.68594479038,385.2671677594336,10.721317348216903
100,"4/2024",148067,1919,145482.64615782304,75460.89463287819,389.00896628109143,10.721317348216903
101,"5/2024",149985,1918,145391.0109433356,75201.88766153935,392.77738914311897,10.721317348216903
102,"6/2024",151903,1918,145300.17676824293,74942.66485105775,396.57407080320576,10.721317348216903
103,"7/2024",153822,1919,145210.13663017037,74683.22602156745,400.4006690120941,10.721317348216903
104,"8/2024",155740,1918,145120.88358795512,74423.57099305253,404.2548342863588,10.721317348216903
105,"9/2024",157659,1919,145032.41076111145,74163.6995853472,408.1395783293897,10.721317348216903
106,"10/2024",159577,1918,144944.71132930007,73903.61161813534,412.052543389602,10.721317348216903
107,"11/2024",161495,1918,144857.77853180259,73643.30691095097,415.99541272941815,10.721317348216903
108,"12/2024",159864,-1631,144771.605667,73382.78528317717,415.1322472858453,10.721317348216903
109,"1/2025",161782,1918,144686.1860918564,73122.04655404702,419.1187207340199,10.721317348216903
110,"2/2025",163700,1918,144601.51322140655,72861.09054264252,423.13601254838574,10.721317348216903
111,"3/2025",165619,1919,144517.58052824865,72599.91706789515,427.185860609469,10.721317348216903
112,"4/2025",167537,1918,144434.38154204073,72338.5259485855,431.2658814250292,10.721317348216903
113,"5/2025",169455,1918,144351.90984900203,72076.91700334316,435.3778198288457,10.721317348216903
114,"6/2025",171374,1919,144270.15909141864,71815.09005064635,439.52344676977503,10.721317348216903
115,"7/2025",173292,1918,144189.12296715332,71553.04490882244,443.700367149586,10.721317348216903
116,"8/2025",175210,1918,144108.7952291596,71290.78139604686,447.91035948284065,10.721317348216903
117,"9/2025",177129,1919,144029.1696850003,71028.299330344,452.1552292718324,10.721317348216903
118,"10/2025",179047,1918,143950.24019637008,70765.59852958636,456.4325702146478,10.721317348216903
119,"11/2025",180966,1919,143872.00067862234,70502.67881149489,460.74561442856856,10.721317348216903
120,"12/2025",179334,-1632,143794.4451003,70239.5399936382,460.037815067648,10.721317348216903
